Issue Date,Issue Time,Ticket No,Code,Description,Officer,Block,Location,Latitude,Longitude
1/21/16,3:31 AM,123030633,2,Overnight parking 2am-6am,CHAVEZ,1227,SINALOA AVE,34.16709,-118.11551
1/21/16,3:29 AM,118023626,2,Overnight parking 2am-6am,BENITEZ,410 W,STATE ST,34.1255666,-118.15873
1/21/16,3:29 AM,111024995,2,Overnight parking 2am-6am,TENA,1175 N,LOS ROBLES AVE,34.1660883,-118.14165
1/21/16,3:27 AM,118023625,2,Overnight parking 2am-6am,BENITEZ,415 W,STATE ST,34.1256116,-118.15884
1/21/16,3:25 AM,118023624,2,Overnight parking 2am-6am,BENITEZ,405 W,STATE ST,34.1256166,-118.15856
1/21/16,3:24 AM,123030632,2,Overnight parking 2am-6am,CHAVEZ,1058 N,ALLEN AVE,34.1643266,-118.11302
1/21/16,3:20 AM,111024994,2,Overnight parking 2am-6am,TENA,1770 N,LOS ROBLES AVE,34.176335,-118.14165
1/21/16,3:18 AM,118023623,2,Overnight parking 2am-6am,BENITEZ,300,BELLEFONTAINE ST,34.1315733,-118.15661
1/21/16,3:16 AM,123030631,2,Overnight parking 2am-6am,CHAVEZ,1215,BRESEE AVE,34.167005,-118.11915
1/21/16,3:14 AM,118023622,2,Overnight parking 2am-6am,BENITEZ,660 S,GRAND AVE,34.1342816,-118.16277
1/21/16,3:14 AM,123030630,2,Overnight parking 2am-6am,CHAVEZ,1269,BRESEE AVE,34.1679816,-118.11916
1/21/16,3:13 AM,111024993,2,Overnight parking 2am-6am,TENA,1130 N,LOS ROBLES AVE,34.1653633,-118.14153
1/21/16,3:12 AM,123030629,2,Overnight parking 2am-6am,CHAVEZ,1309,BRESEE AVE,34.168455,-118.11916
1/21/16,3:10 AM,111024992,2,Overnight parking 2am-6am,TENA,1114 N,LOS ROBLES AVE,34.1651166,-118.14155
1/21/16,3:10 AM,118023621,2,Overnight parking 2am-6am,BENITEZ,817 S,GRAND AVE,34.1318016,-118.16321
1/21/16,3:08 AM,118023620,2,Overnight parking 2am-6am,BENITEZ,881 S,GRAND AVE,34.130555,-118.16363
1/21/16,3:08 AM,111024991,2,Overnight parking 2am-6am,TENA,1066 N,LOS ROBLES AVE,34.1641733,-118.14153
1/21/16,3:07 AM,123030628,2,Overnight parking 2am-6am,CHAVEZ,1576 E,WASHINGTON BLVD,34.16909,-118.11817
1/21/16,3:04 AM,111024990,2,Overnight parking 2am-6am,TENA,960 N,LOS ROBLES AVE,34.1623616,-118.1415
1/21/16,3:03 AM,123030627,2,Overnight parking 2am-6am,CHAVEZ,1485 E,HOWARD ST,34.1721583,-118.11991
1/21/16,3:01 AM,118023619,2,Overnight parking 2am-6am,BENITEZ,105,SAN MIGUEL RD,34.1400016,-118.17458
1/21/16,2:59 AM,118023618,2,Overnight parking 2am-6am,BENITEZ,125,SIERRA VIEW RD,34.1396633,-118.17403
1/21/16,2:58 AM,123030626,2,Overnight parking 2am-6am,CHAVEZ,1425 E,HOWARD ST,34.1722833,-118.12131
1/21/16,2:56 AM,123030625,2,Overnight parking 2am-6am,CHAVEZ,1425,ELIZABETH ST,34.1722483,-118.12129
1/21/16,2:54 AM,111024989,2,Overnight parking 2am-6am,TENA,400 N,LOS ROBLES AVE,34.15251,-118.1414
1/21/16,2:51 AM,123030624,2,Overnight parking 2am-6am,CHAVEZ,1428,ELIZABETH ST,34.1737116,-118.12121
1/21/16,2:49 AM,111024988,2,Overnight parking 2am-6am,TENA,380,PARKE ST,34.1567416,-118.14233
1/21/16,2:47 AM,118023617,2,Overnight parking 2am-6am,BENITEZ,50,SAN MIGUEL RD,34.14081,-118.17505
1/21/16,2:47 AM,111024987,2,Overnight parking 2am-6am,TENA,381,PARKE ST,34.1567966,-118.14253
1/21/16,2:47 AM,123030623,2,Overnight parking 2am-6am,CHAVEZ,1440,ELIZABETH ST,34.173705,-118.12082
1/21/16,2:45 AM,118023616,2,Overnight parking 2am-6am,BENITEZ,25,ANNANDALE RD,34.1406966,-118.17656
1/21/16,2:45 AM,111024986,2,Overnight parking 2am-6am,TENA,378,PARKE ST,34.1567366,-118.14272
1/21/16,2:44 AM,118023615,2,Overnight parking 2am-6am,BENITEZ,49,ANNANDALE RD,34.14025,-118.17629
1/21/16,2:43 AM,123030622,2,Overnight parking 2am-6am,CHAVEZ,1550,ELIZABETH ST,34.1737166,-118.11868
